# x,y,index,family
# # Moire fringe polylines traced from H-MoSe2/WSe2 STM topograph.
# # Family 1 = I fringes, Family 2 = J fringes.
# # Source: Halbertal et al., ACS Nano 16, 1471 (2022), Fig. 1.
30.155642,-98.735409,-9,2
79.766537,-77.334630,-9,2
123.540856,-59.824903,-9,2
162.451362,-46.206226,-9,2
205.252918,-28.696498,-9,2
220.817121,-26.750973,-9,2
249.027237,-18.968872,-9,2
-250.972763,-228.112840,-11,2
-210.116732,-212.548638,-11,2
-161.478599,-195.038911,-11,2
-122.568093,-181.420233,-11,2
-84.630350,-165.856031,-11,2
-10.700389,-136.673152,-11,2
35.019455,-120.136187,-11,2
93.385214,-95.817121,-11,2
135.214008,-79.280156,-11,2
176.070039,-62.743191,-11,2
203.307393,-53.988327,-11,2
220.817121,-50.097276,-11,2
250.000000,-41.342412,-11,2
-237.354086,-248.540856,-13,2
-200.389105,-232.003891,-13,2
-167.315175,-217.412451,-13,2
-131.322957,-203.793774,-13,2
-106.325707,-196.500673,-13,2
-74.697174,-183.041723,-13,2
-30.282638,-168.909825,-13,2
10.767160,-150.740242,-13,2
50.471063,-136.608345,-13,2
106.998654,-114.401077,-13,2
139.300135,-102.288022,-13,2
176.312248,-86.810229,-13,2
187.752355,-82.772544,-13,2
201.211306,-78.061911,-13,2
218.707941,-73.351279,-13,2
250.336474,-65.948856,-13,2
-183.714670,-248.317631,-15,2
-142.664872,-232.839838,-15,2
-98.250336,-215.343203,-15,2
-43.741588,-194.481830,-15,2
8.748318,-173.620458,-15,2
49.125168,-160.834455,-15,2
86.810229,-146.702557,-15,2
126.514132,-132.570659,-15,2
164.199192,-119.784657,-15,2
189.098250,-109.017497,-15,2
216.016151,-97.577389,-15,2
250.336474,-89.502019,-15,2
249.663526,-123.822342,-17,2
213.324361,-129.205922,-17,2
187.752355,-134.589502,-17,2
154.104980,-144.683715,-17,2
110.363392,-160.161507,-17,2
61.238223,-178.331090,-17,2
6.729475,-197.846568,-17,2
-36.339166,-216.016151,-17,2
-63.930013,-224.091521,-17,2
-94.212651,-233.512786,-17,2
-116.419919,-240.242261,-17,2
-135.262450,-249.663526,-17,2
249.663526,-148.721400,-19,2
215.343203,-150.740242,-19,2
176.312248,-158.815612,-19,2
143.337820,-170.255720,-19,2
110.363392,-182.368775,-19,2
70.659489,-196.500673,-19,2
16.150740,-216.689098,-19,2
-17.496635,-228.802153,-19,2
-40.376851,-235.531629,-19,2
-60.565276,-241.588156,-19,2
-78.734859,-248.317631,-19,2
248.317631,-170.255720,-21,2
218.034993,-168.236878,-21,2
201.211306,-172.274563,-21,2
181.695828,-178.331090,-21,2
144.683715,-190.444145,-21,2
114.401077,-202.557201,-21,2
82.772544,-212.651413,-21,2
53.162853,-223.418573,-21,2
26.917900,-235.531629,-21,2
12.786003,-239.569314,-21,2
-11.440108,-249.663526,-21,2
250.336474,-193.808883,-23,2
239.569314,-188.425303,-23,2
213.997308,-189.098250,-23,2
177.658143,-199.865410,-23,2
155.450875,-207.940781,-23,2
123.822342,-217.362046,-23,2
102.288022,-224.764468,-23,2
82.099596,-232.166891,-23,2
66.621803,-241.588156,-23,2
53.162853,-248.317631,-23,2
249.663526,-205.248991,-25,2
234.185734,-205.248991,-25,2
213.997308,-208.613728,-25,2
189.771198,-215.343203,-25,2
166.218035,-224.764468,-25,2
144.683715,-230.148048,-25,2
125.841184,-237.550471,-25,2
104.979812,-248.317631,-25,2
249.663526,-222.745626,-27,2
230.148048,-225.437416,-27,2
204.576043,-232.166891,-27,2
183.714670,-238.223419,-27,2
161.507402,-249.663526,-27,2
249.663526,-243.606999,-29,2
228.802153,-248.317631,-29,2
68.304172,251.682369,8,1
70.323015,240.915209,8,1
77.052490,211.305518,8,1
82.436070,183.041723,8,1
86.473755,152.759085,8,1
92.530283,117.092867,8,1
95.222073,79.407806,8,1
95.895020,51.816958,8,1
95.895020,16.823688,8,1
97.240915,-8.075370,8,1
98.586810,-35.666218,8,1
101.278600,-57.873486,8,1
105.989233,-89.502019,8,1
109.353970,-115.074024,8,1
114.064603,-150.067295,8,1
116.083445,-179.004038,8,1
118.102288,-205.248991,8,1
118.775236,-222.072678,8,1
120.121131,-247.644684,8,1
58.209960,249.663526,7,1
64.266487,205.248991,7,1
70.995962,173.620458,7,1
74.360700,146.029610,7,1
79.071332,106.998654,7,1
81.763122,67.967699,7,1
84.454913,38.358008,7,1
85.800808,18.842530,7,1
87.146703,-17.496635,7,1
87.146703,-37.685061,7,1
89.838493,-53.835801,7,1
92.530283,-78.734859,7,1
97.240915,-107.671602,7,1
101.278600,-133.916555,7,1
103.297443,-166.218035,7,1
106.662180,-192.462988,7,1
108.008075,-227.456258,7,1
109.353970,-248.317631,7,1
42.732167,251.682369,6,1
46.096904,235.531629,6,1
51.480485,204.576043,6,1
58.209960,159.488560,6,1
65.612382,115.746972,6,1
70.995962,61.238223,6,1
73.687752,20.861373,6,1
72.341857,-10.094213,6,1
74.360700,-43.741588,6,1
78.398385,-71.332436,6,1
85.127860,-104.979812,6,1
89.838493,-129.878869,6,1
91.857335,-152.086137,6,1
94.549125,-181.022880,6,1
96.567968,-214.670256,6,1
98.586810,-248.317631,6,1
19.851952,249.663526,4,1
22.543742,231.493943,4,1
28.600269,197.846568,4,1
33.983849,176.985195,4,1
39.367429,147.375505,4,1
42.059219,109.690444,4,1
46.096904,77.388964,4,1
48.788694,41.049798,4,1
50.807537,8.748318,4,1
52.153432,-27.590848,4,1
55.518170,-55.854643,4,1
62.920592,-91.520861,4,1
67.631225,-123.149394,4,1
70.323015,-152.086137,4,1
74.360700,-168.909825,4,1
75.706595,-198.519515,4,1
79.071332,-234.185734,4,1
81.763122,-248.317631,4,1
9.757739,251.682369,3,1
13.795424,216.689098,3,1
20.524899,183.714670,3,1
23.889637,156.123822,3,1
29.273217,129.205922,3,1
32.637954,88.829071,3,1
36.675639,52.489906,3,1
40.040377,0.672948,3,1
44.078062,-43.741588,3,1
51.480485,-90.847914,3,1
58.882907,-142.664872,3,1
64.266487,-174.966353,3,1
66.285330,-198.519515,3,1
68.977120,-224.091521,3,1
73.014805,-248.317631,3,1
0.336474,251.682369,2,1
3.701211,215.343203,2,1
10.430686,177.658143,2,1
16.487214,131.224764,2,1
24.562584,74.024226,2,1
27.254374,32.301480,2,1
34.656797,-35.666218,2,1
38.021534,-69.313594,2,1
44.078062,-108.344549,2,1
50.134590,-148.048452,2,1
55.518170,-192.462988,2,1
60.228802,-229.475101,2,1
63.593540,-249.663526,2,1
-7.738896,251.682369,1,1
-6.393001,211.305518,1,1
-0.336474,174.966353,1,1
6.393001,131.224764,1,1
10.430686,80.753701,1,1
18.506057,16.823688,1,1
22.543742,-25.572005,1,1
29.273217,-82.099596,1,1
35.329744,-119.784657,1,1
41.386272,-156.123822,1,1
46.096904,-201.884253,1,1
49.461642,-230.148048,1,1
52.826380,-250.336474,1,1
157.806191,245.625841,11,1
149.057873,205.248991,11,1
143.674293,170.928668,11,1
138.290713,124.495289,11,1
136.271871,67.294751,11,1
136.271871,16.823688,11,1
134.925976,-23.553163,11,1
135.598923,-61.238223,11,1
140.309556,-93.539704,11,1
145.020188,-148.721400,11,1
147.039031,-193.808883,11,1
147.711978,-219.380888,11,1
150.403769,-247.644684,11,1
170.592194,237.550471,12,1
165.881561,202.557201,12,1
161.843876,176.312248,12,1
153.768506,131.897712,12,1
152.422611,100.269179,12,1
150.403769,55.181696,12,1
149.730821,22.880215,12,1
148.384926,0.672948,12,1
147.711978,-34.320323,12,1
147.711978,-63.257066,12,1
151.749664,-100.942127,12,1
152.422611,-125.168237,12,1
155.114401,-154.104980,12,1
154.441454,-178.331090,12,1
155.114401,-199.192463,12,1
155.787349,-220.053836,12,1
157.133244,-242.261104,12,1
196.837147,245.625841,13,1
188.761777,211.305518,13,1
181.359354,170.928668,13,1
178.667564,152.086137,13,1
171.938089,115.074024,13,1
167.227456,73.351279,13,1
165.208614,36.339166,13,1
163.189771,-7.402423,13,1
161.843876,-34.320323,13,1
162.516824,-80.080754,13,1
163.862719,-125.168237,13,1
166.554509,-156.123822,13,1
167.900404,-182.368775,13,1
167.900404,-209.286676,13,1
165.881561,-231.493943,13,1
167.900404,-248.317631,13,1
214.333782,245.625841,14,1
208.277254,223.418573,14,1
198.855989,179.004038,14,1
190.780619,135.262450,14,1
186.069987,107.671602,14,1
180.013459,55.181696,14,1
177.994616,4.037685,14,1
177.321669,-29.609690,14,1
175.975774,-93.539704,14,1
177.321669,-144.683715,14,1
179.340511,-178.331090,14,1
177.321669,-204.576043,14,1
177.321669,-222.072678,14,1
180.013459,-248.317631,14,1
241.924630,247.644684,15,1
233.176312,219.380888,15,1
225.100942,189.098250,15,1
216.352624,160.161507,15,1
208.950202,119.111709,15,1
201.547779,78.061911,15,1
196.837147,36.339166,15,1
192.799462,0.672948,15,1
191.453567,-31.628533,15,1
188.761777,-75.370121,15,1
188.088829,-111.709287,15,1
192.126514,-138.627187,15,1
192.799462,-172.947510,15,1
193.472409,-195.154778,15,1
192.126514,-219.380888,15,1
190.780619,-247.644684,15,1
247.644684,229.475101,16,1
238.896366,191.790040,16,1
232.839838,152.759085,16,1
223.418573,102.960969,16,1
217.362046,61.238223,16,1
211.305518,6.729475,16,1
205.248991,-42.395693,16,1
202.557201,-93.539704,16,1
201.884253,-121.130552,16,1
205.921938,-150.740242,16,1
205.248991,-179.004038,16,1
203.903096,-213.324361,16,1
203.230148,-249.663526,16,1
250.336474,159.488560,17,1
246.298789,121.130552,17,1
238.896366,78.734859,17,1
231.493943,32.974428,17,1
226.110363,-3.364738,17,1
221.399731,-42.395693,17,1
218.034993,-84.118439,17,1
216.689098,-103.633917,17,1
216.016151,-131.224764,17,1
216.689098,-144.683715,17,1
216.689098,-166.218035,17,1
216.689098,-176.985195,17,1
216.016151,-201.211306,17,1
214.670256,-221.399731,17,1
216.689098,-241.588156,17,1
217.362046,-249.663526,17,1
234.185734,-248.317631,18,1
234.858681,-229.475101,18,1
237.550471,-207.267833,18,1
242.934051,-185.060565,18,1
248.990579,-148.721400,18,1
247.644684,-249.663526,19,1
246.971736,-234.185734,19,1
248.317631,-217.362046,19,1
251.009421,-199.865410,19,1
-113.055182,249.663526,-10,1
-113.055182,229.475101,-10,1
-111.036339,204.576043,-10,1
-111.036339,179.004038,-10,1
-108.344549,146.702557,-10,1
-104.306864,117.765814,-10,1
-100.269179,88.156124,-10,1
-94.885599,43.068641,-10,1
-90.847914,8.748318,-10,1
-88.156124,-13.458950,-10,1
-80.080754,-60.565276,-10,1
-72.678331,-103.633917,-10,1
-65.948856,-142.664872,-10,1
-62.584118,-170.255720,-10,1
-57.873486,-195.154778,-10,1
-53.835801,-215.343203,-10,1
-47.779273,-249.663526,-10,1
-160.161507,249.663526,-15,1
-159.488560,213.324361,-15,1
-157.469717,170.928668,-15,1
-156.123822,138.627187,-15,1
-151.413190,92.193809,-15,1
-143.337820,40.376851,-15,1
-135.262450,-11.440108,-15,1
-127.860027,-57.873486,-15,1
-116.419919,-119.784657,-15,1
-109.017497,-162.853297,-15,1
-100.942127,-209.959623,-15,1
-94.212651,-247.644684,-15,1
-204.576043,249.663526,-20,1
-205.248991,207.267833,-20,1
-203.903096,149.394347,-20,1
-198.519515,102.960969,-20,1
-194.481830,58.546433,-20,1
-187.079408,8.748318,-20,1
-181.695828,-28.263795,-20,1
-175.639300,-61.911171,-20,1
-166.218035,-118.438762,-20,1
-158.815612,-158.142665,-20,1
-152.086137,-194.481830,-20,1
-139.973082,-247.644684,-20,1
-176.312248,-248.317631,-24,1
